Mean3,StDev3,Variance3,CVariation3,Q1_3,Median3,Q3_3,IQR3,Minimum3,Maximum3,Range3
88.84583333,1.717677696,2.950416667,1.933323862,88.125,88.7,89.425,1.3,86.2,93.6,7.4
92.48333333,2.101276355,4.415362319,2.272059493,91.2,91.85,92.6,1.4,90.5,99.8,9.3
88.63913043,2.184811024,4.773399209,2.464838061,87.1,87.9,89.5,2.4,85.8,94,8.2
87.93043478,1.421725834,2.021304348,1.616875702,87.1,87.8,88.4,1.3,86.2,93.3,7.1
91.13333333,1.254787932,1.574492754,1.376870444,90.4,91,92.225,1.825,88.8,93.4,4.6
88.87826087,2.213380081,4.899051383,2.490350351,87.4,88.6,89.6,2.2,86.6,95.3,8.7
89.75217391,2.368710728,5.610790514,2.639168084,88.3,89.4,91.5,3.2,85.5,95.7,10.2
87.5,1.705489857,2.908695652,1.949131265,86.375,87.05,88.35,1.975,85.6,93.2,7.6
90.43333333,1.759611288,3.096231884,1.945755202,89.75,90.4,91.575,1.825,86.1,93.3,7.2
90.45833333,2.153443484,4.637318841,2.3805916,88.45,90.85,91.575,3.125,87.7,94.9,7.2
88.25,1.618372774,2.619130435,1.833850169,86.9,87.9,89.5,2.6,85.5,91.3,5.8
89.78181818,2.18580624,4.777748918,2.434575601,87.875,89.15,91.775,3.9,86.6,94.4,7.8
91.8,1.140175425,1.3,1.24202116,91.125,91.85,92.575,1.45,89.3,94,4.7
93.96666667,1.703108837,2.90057971,1.812460628,92.85,93.65,94.65,1.8,91.1,99,7.9
90.26363636,2.396732986,5.744329004,2.65525862,88.3,89.95,92.35,4.05,86.6,94.4,7.8
87.26666667,1.556380044,2.422318841,1.783475986,86.175,86.85,87.775,1.6,85,91,6
88.35416667,2.261007695,5.112155797,2.559027809,86.75,87.85,89.1,2.35,85.2,94.5,9.3
90.66666667,2.245704434,5.043188406,2.476879891,89.375,90.3,91.675,2.3,88.2,98.7,10.5
89.62083333,1.911971249,3.655634058,2.133400436,88.2,89.35,90.825,2.625,86.6,94.9,8.3
95.12083333,2.280537535,5.200851449,2.397516354,93.8,95.1,96.675,2.875,90.7,100,9.3
88.30833333,1.689074011,2.852971014,1.912700588,86.875,88.45,89.375,2.5,84.4,92.2,7.8
88.20416667,1.82220105,3.320416667,2.06588999,86.7,88.35,89.925,3.225,84.7,91.4,6.7
87.36666667,1.717851709,2.951014493,1.966255294,86.35,87.45,88.675,2.325,83.1,90.3,7.2
90.6,1.975502138,3.902608696,2.180465936,88.9,90.4,92.075,3.175,88.2,94.7,6.5
90.50416667,1.662758098,2.764764493,1.837217179,89.025,90.65,91.825,2.8,87.6,93.5,5.9
89.79166667,2.022249429,4.089492754,2.252157137,88,89.85,91.525,3.525,86.8,93.2,6.4
91.3875,2.018891754,4.075923913,2.20915525,90.2,90.95,93.1,2.9,88.2,95.3,7.1
93.18333333,2.239500462,5.015362319,2.403327271,91.4,93.3,94.95,3.55,88.9,98.7,9.8
90.83333333,1.850655975,3.424927536,2.037419422,89.55,90.65,92.25,2.7,86.8,94.4,7.6
91.37727273,2.249429942,5.059935065,2.461695206,89.8,91.2,92.575,2.775,87.6,96.6,9
88.39565217,1.900114413,3.610434783,2.149556416,86.8,88.5,89.5,2.7,84.9,91.9,7
90.62173913,2.289691627,5.242687747,2.526647192,89.4,90.8,92.2,2.8,84.9,95,10.1
89.51666667,1.762327183,3.105797101,1.968714038,88.4,89.35,90.675,2.275,86.2,92.9,6.7
89.57916667,1.796610133,3.227807971,2.005611573,88.75,89.75,91.125,2.375,85,92.5,7.5
91.59166667,1.345497053,1.810362319,1.469016889,90.5,91.7,92.55,2.05,88.6,93.8,5.2
89.95,1.075417007,1.156521739,1.195571992,89.05,89.9,91.1,2.05,88.1,91.5,3.4
92.59583333,1.329425887,1.767373188,1.435729707,91.425,92.55,93.375,1.95,90.6,96.2,5.6
89.49166667,1.103715727,1.218188406,1.233316763,89,89.35,89.925,0.925,87.1,92.5,5.4
90.23333333,1.548819092,2.39884058,1.716460021,89.15,90.25,90.975,1.825,87.3,93.2,5.9
87.99166667,1.484387347,2.203405797,1.686963554,86.9,87.8,89.375,2.475,85.7,91,5.3
91.3125,1.350784796,1.824619565,1.479298887,90.225,91.4,92.3,2.075,88.6,93.8,5.2
88.59166667,1.56146995,2.438188406,1.762547211,87.45,88.65,89.475,2.025,85.6,91.8,6.2
93.59166667,1.830637016,3.351231884,1.955982921,92.225,93.1,95.125,2.9,91,97,6
93.93913043,2.172919931,4.721581028,2.313114802,92.4,93,95.7,3.3,91.4,99.2,7.8
90.05833333,2.414614321,5.830362319,2.681167008,88.2,89.45,91.875,3.675,86.6,95,8.4
90.8,1.82542431,3.332173913,2.010379196,89.45,90.45,92.4,2.95,88,93.9,5.9
92.16666667,1.893849695,3.586666667,2.054809795,90.75,92.35,93.25,2.5,88.8,97,8.2
92.85,1.682389605,2.830434783,1.81194357,91.4,93,94.05,2.65,89.6,96.7,7.1
91.74583333,2.055528953,4.225199275,2.240460278,90.075,91.95,92.75,2.675,88,95.8,7.8
88.8125,1.810671867,3.278532609,2.038757908,87.35,88.25,90.1,2.75,86.5,94.2,7.7
90.81666667,2.155814517,4.647536232,2.373809342,89.525,90.8,91.875,2.35,86.8,97.8,11
89.48333333,1.853707605,3.436231884,2.071567448,88.25,88.9,90.775,2.525,87,93.9,6.9
88.31304348,2.287575999,5.233003953,2.590303662,86.5,88,88.9,2.4,85.5,93.7,8.2
90.175,1.932614809,3.735,2.143182489,88.95,89.75,91.1,2.15,86.9,96.6,9.7
87.26818182,2.201598199,4.847034632,2.522795999,85.075,87.1,89.1,4.025,84.1,91,6.9
89.29166667,2.106494444,4.437318841,2.359116502,88.075,89.25,91,2.925,85.4,92.8,7.4
89.59583333,1.370331336,1.877807971,1.529458776,88.35,90.1,90.575,2.225,87.3,92,4.7
92.87083333,1.824347213,3.328242754,1.964391992,91.45,92.45,94.525,3.075,90,96.9,6.9
91.72083333,2.322663233,5.394764493,2.532318066,89.9,91.65,93.35,3.45,88.3,95.8,7.5
92.52727273,2.505837341,6.279220779,2.708214851,90.325,92.3,94.925,4.6,89.3,96.7,7.4
92.49166667,1.190877158,1.418188406,1.287550761,91.4,92.4,93.175,1.775,90.7,95.5,4.8
94.28333333,1.19552305,1.429275362,1.268011013,93.3,94.3,95.05,1.75,92.2,97.4,5.2
